query_id,answer
70DfDUpwjxB4lzFd,d722bcda1a555091 fa01652ca5f57d0f 603623b4bd9e8f6c b92ee8f432cec2d1 355392014208b7bf 6042fecdd7753112 255fbeaf526a1cc1 deb58d7ad8c27d06 bbfd9a8c71d3bd2b a1df0525799ab4b5 e5a240b2eaca4e11 6047e1566a959d3a 4494aa11cbdc2d65 19eb2b277468f2a9 d7ad9f91504e4d02 94c5ec723ea5418f af211a0cee266bb0 e5653b4ed4cd969a 4332513c8fe7e1c9 347f89be8087d8c7 fe18d6ee0f9c019c fa4ba2c2cf71b0b1 f4e8903d7689e222 9be8461bb9a228f5 a7a0f99e245726bf c46fde1ede06647a 152a95fb3bef6f8b a76328088b89b4c5 99a2e8409516b616 291909ee57a47099 e1a145ffede87d05 6fc4db453f873556 500f27848ff77d33 4b9a757ad23ac06b 73ba3172bc67d2dd 14d535285758af89 c04be97528001251 b516280296ec87af 9515d1e1ecdac72c 33f8d361a92bdcde 9a5ed78c7200bf69 f78d7058e1d906eb 585d85c2bbec8c0a 82ddaf2c54ef884a d4ebb123b83921c3 d01e14d2ffd4ddba 6859d15994f7cb1e 6dfa83ed47d5bd10 3b5ada3ffcacbbf3 f65ac8db3e481766
JTrdTaZJvSiLPkXj,367af128a9ea2a48 422d3ffdd5bbf626 cbeccbecb1fb8d86 dfa239d031b11832 1344796085e92421 1c6d2079e07f4497 47b2ed1012de011a d93566718c3408ab 01fbbfc288257fca e7a1a49f5d6590f2 536b488415b4ce03 35a0a88ef8547de9 431efbc80d59155f f46f68aaa4d7de38 9227619964c97cd4 16ea26ff0aa0450a 8703b2a0442c5d25 413f6384e3c07b64 4a435cc0a254c1fd d138a52c02412263 7336a9dac2bde567 c5022b247c214698 57e4e6a29340c866 ceaec1e61943ca89 f804a8e0056bf10d ca1e5825830a1aa8 45fd940dbe227ec5 108d266cd3cebe3d 1c0c8df0692e71d0 07c5d163c5f77d12 10bbc1aa6203e8a7 f70a3410248fdabc 68dde10a1ec91e31 70a81d231b1432bd 9c2a3f1b666ab84b 4e8ee0b9d20708ed fb52c398a5ec8c1c 2300fc51d47a5bd4 a8614ab69c8675a1 9f1eea08a9367d15 67be8777beed59d7 3f514900af5dee38 ca938705f0ded63d b5a780a8336ff336 86291837717ec27b 31bda8b61ddfbc82 41ede7110fc2b8d5 1ed3904cf1703103 46ed6dd86db82450 40b761da798ee5c1
LZCZNoVG4AFUkVRJ,dab52187b4500d9b 3f89b8062dc85f1c d62074dd39caefee d8fce513e4f000a7 edecb3695ab88901 168a9207e80b0be4 3b370cc603f67947 c5d21c0e8c1cdb2d 10eb6d6da3230bbb 5c3ee000a94c97a4 c1abf382ab9a79dd 0b1c884e6c242ea7 d8b9d06b50158c04 53fc0e81b65d6289 005a523a0efbc62b 35a357d7a0777087 c6e4d72fbdddb0c2 7347ccc4bdcfde01 09a771aea9751eef 965d4e5fe7062419 d9e6024e99cb1204 09dde67087bfcd13 3b55d761d507da7e c14bf24124231763 9168f63640470a6f 7b8a54233e95778c ffa57569baf9bf6e 14830dcaf2844430 376afc354369d859 bceedeb6de5bba45 a3cf93881f3682f0 fb51c270cd6ad2c1 974b459d83fc73c2 27f98f049e9b180b 9890a21676c4be1c 8588316d17011353 2fbb2c35ee146e70 3e94e0d780de88d5 31995e9a6c98b70e 4b533a51c97bb229 808bbad1bfa0c297 a9840be7d8930cd1 c424952788531174 20a542503dbca706 908191743fc049b4 58182929e8394253 f4f529d7f72dcb22 4cdf0467e4a1583b a8b35ae39480de3a 2d450ac328097254
660ac9QVtXkRxZC3,a846a2a5241e1180 bd2cb4500fad728e 4c15e7abba063ac5 af91ec4a29b66636 1e5924dc546b82c1 e42795fcb72962a5 3cce43c811459438 62be8c7f2a81aa9b 7d77c8f23d4954f8 f9028eecc17d9dd0 07b097f40920dc2e 4816fc8b40866f56 fe6f9f15ac60c3cb 5c9d84e749c82719 429347d76acdf6f0 47e796789fa62aea 18c4c99fffbf23ff cf5beea58ecee566 0ccc2d9667763ea3 b53b05e00029d6e6 06d6a87cf3689e01 a882ac08231bae00 130544bc3ab3d497 348c8ba7baa0f4fa 38ecf5c0b8e5999b f4e14280b17df7fb fe2019b909e8c27c 250f823c8918c2d8 976b75fa962b2756 08223c553a39282b d9edc0a497fc2111 67b2cd847669eb36 c5dbfca6e26a8afe 5b8181f009aea80e 9ffda40885673b98 bc87e854e9d4cbac 3df7f21cb4e74ac7 70d6122167be5c66 4818d519943b8a74 760abe3c88352d2f 05ffcc44731dca94 2f607b7d76572035 97ba18eff7e81aaa 57f0c8833f98c86b faea54b4ef8920ae bcd7b5b0d652e9dd 3e7925ccea5aa7ce bbdb1c31ea8774ef 6c24f09ed2f18b0b 7f0e79d19cfd6afe
YgHcM9MVbxKnxD1e,ba78ad593ec3412d 13f58fe9542bdb1a 9c41fe789f98d702 1a62634394544781 60e3b99111bd032b 56e3295572157d74 615c73ea4c3bfd15 53f9c8caeeb8111e 5008e2463b0c0526 33d983691b39da66 b8603925d28a8c99 69313d4e1dce4f52 fb0bf6077c59c5a2 3bad0535f35b0096 0c8a36e283d43f46 4ef5ba70fa9baaef e4dc4fd74ce1c4c6 94cce9ac398a8f4a cba533b4d734504c 33539f478a2ca02a 90872ad5fea97a70 4ac1b5362445d885 9502b74b2d61c50e 77a1a9d8e808d482 7ff997981c88bec5 c539e0661217b8eb 05ae81c26a3e6b11 7ca31bd26b54c2d3 a413c0c31ebe5c3f 72a8c1adb6d9a137 9d8fc4400778047d 0f2830cc25924065 bd9e8570cf8d8eaf d201edf373168f24 e88641d6dcf18b42 0e9ed42de7e3e879 6512376fc63b409e dfa2e4acf9a001eb 23bc4a9372c16c12 38f7cea86e2064f1 0f79695e8c342b3a 5d18dc2a0fae10f2 88232528f158ebbd d72b7a6cc8271618 b24c44fc09c7d50b 26d55c68da5f0cb8 9c01722be4efba41 9dfc2ead6929b559 407e6f8c8891a01f bcc1cd1d0d27167e
Fn8uGfYsaUS86ak6,c6ddc1fc25886253 e3f278c4400772bd efd1cbb4bff99da8 1ebd6968953200ee 9d80c5569bb55f4d 98d326ba81fe3f24 6f62d35257e7a261 8ed055fba8c69bea 5d6fc47a7f0e1abe 138ebf716562699c 6a254eaa5e3cbcaf 1ddbc4e38fa8e39e 04b3c9d52d80b499 31ff8ec483e880b6 9328083d57dc2ecb c6a84f5d4d3a89df b2f06be2631378f4 a3f003d075e3dd83 470c9b814c5f01db e4f46fcd4a67837f f561c13076e6bf30 29ce1d78b42644f2 b9982354b0f9b488 ea72d9308f78f43e a5b439f86471cead 340213a619c45f65 f52a1a8c5fa23746 282c376762a9bce8 8a017a8dfb66f997 dc1c87130fd0744c 6b860f38b8980d2d 153930f02f5381c0 7d10a60250c95c11 f3772bb5b115fd55 38f855dd404693b0 ff217974c8cb6ed7 df63f15b03fa2b62 3682e01e00c43cd9 5066ae88b139f615 44853116720cebf8 1fbe566c17c1c988 562fbf0bb40d5f72 1b57e78ed4d89c93 edf52af1a871e672 453bd899952d45e6 e2c718f90a1319f1 c9298a6e883e58ff 77df00971c492439 becdda5c70c0c289 c9a0318835152b29
u4hftjenWqHZoMep,0cfabc56b1cd4816 f7ed83d74c968bd4 c9021873c1f2511b 6159d0a9012f6b13 bfc4346cd7fe091f 144d5e7f963f9a97 7ad464454b711615 57dc728ccb851c30 b0896578a785ce44 1a3daa8815cbd80e 4ed8df21d84d4a06 7ab3158075b21fb5 83b88c758270dcfe 24370b8d2003ebfc 4ecfd12428c444fa 19ae86fc31b681a0 c82beeab708dfec5 ea86b8342042331e d0a1eeeb46bda2ef e1ea0056989466b1 45802b3117b87699 1c0833aaa8076a06 58010316235fc352 5d9db7da201ce13a 1c59d466411c6134 56e22aff11b5ff11 73efdd3cf36a7599 58e534b5daa35ce3 34b33010bb0cb61e 6fa8509fd6c62db0 91f19c16acf9b413 b768599c1f054f05 9df963f78f82dd2f b8e3c0d268d09022 5653d6a7f9b84737 f79d063b366b554d 1f845796f54adb5f 05c78d063aa3fac7 4e95d2667dcb5fb3 f2d7a21bead9c336 d470b5930e75f8f9 3d6b2e7dfeb7ebc5 153431bef8abe73d db22895286f55889 5b67de93680d2409 daf681681cb7c998 b0b2c0d53573999d 22b7f7605f97045a 12336728a15701e7 0cbcf487080afe85
2Ysms04CH0JxFR7M,1a4ad9abea6976bf 376b59a44a9b7fde 4eab8b78558b6cb7 d7383729fe99b54f d88cf31055f8f2f9 9e6898aa5a012ad4 cd8a55e63e6ab416 ff14cbd8d906719a 831141431ca6022b e3f2e9efeb9d1b5a 4e2cb3c6fe0f1376 48fb9b26f3ab9085 c57e284d60a66f9b 1d3eb18e863c9dbf 2021792912211cc8 fd1001273e2f6a7b 7cd161f77b76b004 ba854086d29b49b8 866937840b197999 d765d8511e57bd2d f4bc1d7e5f5c5d38 0749b0eac68ddfa2 fa0facc1035123dc a1ce355c874ba851 4ab5d95e3dbd0660 d39a335d58289043 e3598048a2754fcd d1254ee38f8a30e6 c367d367efd7e4bf 27514aceb5aeb5b4 d2e365d50fdcae55 3926c43cd7703559 d6161215ffaba51b 090f75d0eec86104 df69fd4f86c59215 62a13657a4b082e3 da41e1fd7e1f2dde 2e6579deca84605e 67cc1ef771b75c1b 302ffab4d78f8d66 e064e4de3527681a 5741369bd251e59c 1352e23d2c8a7e7a 7dfeb02fb54adeeb bfd2fa35e7a1660f 5c1543f4426a6c5a 7cd8ce86b84060e7 b595570431db03be ff570e783453efcf d08a084f6ae0c411
C87NmbDEECz55BdJ,d93f9fd25c34020e ae71662e1cd76c33 67cef9ea8ab87aae d05475ef80a2f145 1533be0e7606efcb 1d69247a2365bcd9 503fa42b3135b07a a2fe5220900a341a 8d368cec78617ab7 47d69ab911f7e876 9f69c8903ff81799 772bdac5eb711ff6 933c563c0b97b294 58c8bb4cda560a90 272fb9d939705fa2 a317a15b20ded8b5 7c1fd27bf3023a09 d53ed1b5ee04124b 47586ca379a6e7ae 059c8a44e4a5f5d3 e527237e2096d59d 944edc6090a053c4 a27b5020179c5042 fd6d4cd0218b5622 4404d385720acd4d b78ba8435b2fdd7b 3be415d738ad3ee8 6c59b2d8dfa5f3ff 60da3b17af6c67c6 86de71c66dd2773e 17d852af377fc179 5a6158ffb77453fd 6b037b66d3e4ee64 639d85039afd302d 05c1d6476c20c9a2 985dc437fea08791 b071274703901b30 18de0a5d35af6f26 2ab56073933b9304 41206f1973ec29eb c6a24f37db443445 88abc226deb22649 5066ae88b139f615 eb05382cc4155e02 d279dac125beed52 104da90f582eb10b 312eb6d5e3c97fe5 09433c66fd1d6922 e3201c5d40af660d 0489ab346368fb43
bTF8nFanljgh7MYg,a2e5965b7fb44ba0 bc6fe8709b827527 070b67d8d87a7d16 1555a20631f724fe 6f9ecabf50905914 92900ef443cae65d 37708c707419f030 ffb293d728ad43a6 fa77bea1e3a8ee25 12f8eb8fc5bcf830 2edb7e3823ef97fd 495994dc327cbdd5 09e9fea66d9b18ed aad45e2a41968022 46537d22342c9741 e1a509061db4365e ab1bd12ff390493f 88c1ca26292dbdff adb24f7adbef70ff a37577e9aafbd972 ed87e7925d4eff55 4fccdbe940ddd698 627ca4f7dc9fe638 33de3813f4dac961 1ef0d3d4bf13d4e5 e6138c34ed8219e6 95d6e5ef0d0d0024 ff0fa20dc2ab50f5 4e665c6b9d61c27c b6900fa9bb2d6d70 8134832c22b87344 b2dab688e3d49335 54cbe73571b9e65a dde6386d3541a659 d662afe26d8f95ca 45751ba9f5ef2a7b f28b7d7954e4db9b f9595eb51bddab0d 32cefa5bf784eb98 ca4f1a06660958cf 994882f95a0540c6 13dd552723d923bb ead77d56282a9377 d49b0855508c7a45 329aba6abba938bd 026ce13d80e28e25 6ce7d6eb39838e2e 5bebe6bac1864bee dea270e3a7baa3cf 205d27b298070d1e
